표지일련번호,표지종별,X좌표,Y좌표,표지판 근거리 이미지1,표지판 근거리 이미지2,표지판 근거리 이미지3,표지판 근거리 이미지4,표지판 근거리 이미지5,표지판 원거리 이미지1,표지판 원거리 이미지2,데이터기준일자
WR(서울특별시 영등포구)-[도림로]-상-8,3방향표지,191237.79,444923.43,/2006-10-11/WRC0119도림로U/sa500304.jpg,,,,,/2006-10-11/WRC0119도림로U/sa500303.jpg,,2018-04-30
UR(서울특별시)-88[올림픽대로]-상-22,2지명이정표지,214095.76,452120.92,/2006-10-18/URC010088U/올림픽-5-근거리.jpg,,,,,/2006-10-18/URC010088U/올림픽-5-원거리.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-35,1방향표지,195436.05,447693.3,/2009-01-12/URC010070강변북로U/s7304254.jpg,,,,,/2009-01-12/URC010070강변북로U/s7304253.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-상-2,3방향표지,191016.22,443603.83,/2006-10-11/WRC0119도림로U/sa500286.jpg,,,,,/2006-10-11/WRC0119도림로U/sa500285(1).jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-하-3,3방향표지,191237.79,444923.43,/2006-10-11/WRC0119도림로D/sa500306.jpg,,,,,/2006-10-11/WRC0119도림로D/sa500305.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-상-9,3방향예고표지,191015.18,445342.44,/2006-10-11/WRC0119도림로U/sa500308.jpg,,,,,/2006-10-11/WRC0119도림로U/sa500307.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-36,2방향예고표지,195595.24,447508.76,/2009-01-12/URC010070강변북로U/s7304256.jpg,/2009-01-12/URC010070강변북로U/s7304258.jpg,,,,/2006-10-11/URC010070U/강변북로-92-원거리.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-상-10,3방향표지,190895.12,445601.24,/2015-07-20/WRC0119도림로U/67 (341) 근거리.jpg,,,,,/2015-07-20/WRC0119도림로U/67 (341) 원거리.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-하-4,3방향표지,190895.12,445601.24,/2006-10-11/WRC0119도림로D/sa500312.jpg,,,,,/2006-10-11/WRC0119도림로D/sa500311.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-하-5,3방향예고표지,191106.48,445105.44,/2006-10-11/WRC0119도림로D/sa500262.jpg,,,,,/2006-10-11/WRC0119도림로D/sa500261.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-하-6,3방향표지,191220.15,444994.95,/2006-10-11/WRC0119도림로D/sa500264.jpg,,,,,/2006-10-11/WRC0119도림로D/sa500263.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-86,2방향예고표지,206847.56,447286.56,/2009-01-21/URC010070강변북로U/s7304547.jpg,/2009-01-21/URC010070강변북로U/s7304548.jpg,,,,/2009-01-21/URC010070강변북로U/s7304546.jpg,,2018-04-30
WR(서울특별시 영등포구)-[문래로]-상-13,3방향표지,190635.11,446329.41,/2006-10-10/WRC0119당산로U/sa500418.jpg,,,,,/2006-10-10/WRC0119당산로U/sa500417.jpg,,2018-04-30
WR(서울특별시 영등포구)-[당산로]-하-15,2방향예고표지,190584.08,446108.42,/2015-07-20/WRC0119당산로D/65 (443) 근거리.jpg,,,,,/2015-07-20/WRC0119당산로D/65 (443) 원거리.jpg,,2018-04-30
WR(서울특별시 동대문구)-[안암로]-상-3,3방향표지,202794.81,453775.19,/2006-10-10/WRC0106안암로U/7-4 안암로a.jpg,,,,,/2006-10-10/WRC0106안암로U/7-4 안암로a..jpg,,2018-04-30
WR(서울특별시 서대문구)-[성산로]-하-12,3방향예고표지,193377.79,451590.93,/2011-02-28/WRC0113성산로D/1.jpg,,,,,/2011-02-28/WRC0113성산로D/2.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-29,3방향표지,194717.74,448273.96,/2009-01-12/URC010070강변북로U/s7304238.jpg,/2009-01-12/URC010070강변북로U/s7304239.jpg,/2009-01-12/URC010070강변북로U/s7304240.jpg,,,/2009-01-12/URC010070강변북로U/s7304237.jpg,,2018-04-30
UR(서울특별시)-[무학로]-하-3,3방향표지,202609.9,451585.11,/2006-09-05/WRC0104무학로D/무학로-4-후면-근거리.jpg,,,,,/2006-09-05/WRC0104무학로D/무학로-4-후면-원거리(1).jpg,,2018-04-30
UR(서울특별시)-[용마산로]-하-2,3방향예고표지,208199.62,453472.14,/2016-10-07/URC0100용마산로D/용마원.jpg,,,,,/2016-10-07/URC0100용마산로D/용마근.jpg,,2018-04-30
UR(서울특별시)-[사가정로]-상-52,3방향표지,208137.55,453125.85,/2016-10-07/URC0100사가정로U/상근.jpg,,,,,/2016-10-07/URC0100사가정로U/상원.jpg,,2018-04-30
UR(서울특별시)-[무학로]-하-4,3방향표지,202571.1,451637.41,/2006-09-05/WRC0104무학로D/무학로-1-전면-근거리.jpg,,,,,/2006-09-05/WRC0104무학로D/무학로-1-전면-원거리.jpg,,2018-04-30
WR(서울특별시 중랑구)-[용마산로]-하-8,2방향예고표지,207542.37,452340.06,/2006-09-05/WRC0107능산길D/131하근.jpg,,,,,/2006-09-05/WRC0107능산길D/131하원.jpg,,2018-04-30
UR(서울특별시)-70[강변북로]-상-38,3방향예고표지,195756.52,447240.88,/2009-01-12/URC010070U/s7304261.jpg,/2009-01-12/URC010070U/s7304262.jpg,,,,/2009-01-12/URC010070U/s7304260.jpg,,2018-04-30
WR(서울특별시 영등포구)-[도림로]-상-11,3방향표지,191220.15,444994.95,/2006-10-11/WRC0119도림로U/sa500266.jpg,,,,,/2006-10-11/WRC0119도림로U/sa500265.jpg,,2018-04-30
