Column1,지점명,위도,경도
495,삼전사거리,37.5042944,127.0879606
496,가락119안전센터 앞 사거리,37.493435,127.1107642
497,서울시청 삼거리,37.5657037,126.9768616
498,신월사거리,37.5358414,126.8283183
499,목동역 오거리,37.526006,126.862876
500,청소년수련관 사거리,37.7378874,126.512594
501,곰달래지구대 사거리,37.5328702,126.8631206
502,신트리공원 앞 사거리,37.5072598,126.7257458
503,오목교 사거리,37.5330335,126.8637145
504,과학수사연구소입구,37.5209545,126.837679
505,신정네거리역 사거리,37.520209,126.852796
506,강월초교입구,37.516708,126.837797
507,양천우체국 부근,37.5328427,126.8761749
508,신정네거리역 사거리,37.520209,126.852796
509,홍익병원 앞 사거리,37.5274,126.864417
510,서서울호수공원 앞,37.527672,126.829852
511,화곡로입구,37.5393132,126.8259574
512,오솔길실버공원 북쪽 삼거리,37.5214822,126.8369846
513,월정초 앞,37.5342584,126.8361787
514,서부트럭터미날,37.507881,126.843776
515,청소년수련관 사거리,37.7378874,126.512594
516,신월119안전센터 앞 사거리,37.5351137,126.8281706
517,신월사거리,37.5358414,126.8283183
518,신월사거리,37.5358414,126.8283183
519,목동역 오거리,37.526006,126.862876
520,오목교 사거리,37.5330335,126.8637145
521,신월동우체국 사거리,37.534809,126.828765
522,청소년수련관 사거리,37.7378874,126.512594
523,화곡4동우체국 사거리,37.5323703,126.8625095
524,목동역 오거리,37.526006,126.862876
525,목동청소년수련관 사거리,37.5309088,126.8751699
526,영등포로타리,37.5184006,126.9122551
527,삼성화재영등포사옥 앞,37.5358333,126.8986111
528,여의교교차로,37.5159431,126.9277969
529,영등포역 앞 삼거리,37.5136513,126.918699
530,당산역,37.5340278,126.9019901
531,영등포유통상가,37.5222594,126.8942028
532,여의2교 서단 사거리,37.5262608,126.9122549
533,청과시장입구,37.52368,126.901761
534,서울교 동단,37.52065,126.915949
535,영등포전화국,37.529493,126.9057595
536,남부교육청오거리,37.4561418,126.7030292
537,영등포시장사거리,37.5202336,126.9042003
538,문래동사거리,37.5131232,126.8972567
539,영등포구청 앞 사거리,37.525469,126.896564
540,사러가쇼핑센터 앞 사거리,37.5670339,126.9296131
541,도림사거리,37.5067385,126.901353
542,당산삼익아파트,37.528105,126.895994
543,영등포로타리,37.5184006,126.9122551
544,영등포역 앞 삼거리,37.5136513,126.918699
545,신풍역 3번출구,37.50004,126.90814
